马 唖
让 渇
敢 滑
男 葛
物 褐
军 轄
酷 且
撕 鰹
毁 叶
更 椛
糟 樺
糕 鞄
路 株
闲 兜
逛 竃
哦 蒲
号 釜
赞 鎌
赏 噛
赚 鴨
再 栢
往 茅
条 萱
商 粥
业 刈
允 苅
文 瓦
除 乾
其 侃
免 冠
费 寒
浏 刊
览 勘
农 勧
民 巻
提 喚
供 堪
传 姦
进 完
土 官
匪 寛
守 干
卫 幹
放 患
丢 感
脸 慣
光 憾
逐 換
己 敢
继 柑
续 桓
接 棺
近 款
落 歓
脚 汗
觉 漢
得 澗
用 潅
还 環
小 甘
酒 監
馆 看
基 竿
本 管
推 簡
荐 緩
外 缶
王 翰
偿 肝
倾 艦
于 莞
美 観
晚 諌
餐 貫
享 還
计 鑑
数 間
部 閑
玛 関
矿 陥
迷 韓
老 館
板 舘
爵 丸
损 含
照 岸
顾 巌
伯 玩
盗 癌
殿 眼
打 岩
赌 翫
三 贋
重 雁
奏 頑
逍 顔
遥 願
长 企
叛 伎
虽 危
请 喜
边 器
胜 基
证 奇
害 嬉
逆 寄
聆 岐
感 希
高 幾
兴 忌
领 揮
导 机
啊 旗
袖 既
帮 期
助 棋
方 棄
入 機
俘 帰
虏 毅
狗 気
位 汽
置 畿
日 祈
慎 季
场 稀
吃 紀
惊 徽
Ε 規
群 記
未 貴
训 起
练 軌
激 輝
击 飢
展 騎
示 鬼
关 亀
押 偽
· 儀
问 妓
仍 宜
呢 戯
芥 技
菜 擬
派 欺
萨 犠
辛 疑
难 祇
语 義
原 蟻
因 誼
播 議
息 掬
伟 菊
德 鞠
唉 吉
办 吃
寻 喫
背 桔
忆 橘
普 詰
罗 砧
蒂 杵
耻 黍
辱 却
此 客
住 脚
同 虐
志 逆
朋 丘
友 久
快 仇
球 休
室 及
棒 吸
价 宮
聊 弓
送 急
注 救
帝 朽
牵 求
祈 汲
祷 泣
容 灸
易 球
教 究
输 窮
谎 笈
测 級
试 糾
仰 給
怀 旧
疑 牛
丽 去
尽 居
管 巨
运 拒
深 拠
制 挙
顽 渠
转 虚
驻 許
故 距
主 鋸
危 漁
险 禦
刻 魚
握 亨
嘴 享
尤 京
伴 供
随 侠
耳 僑
朵 兇
裂 競
声 共
音 凶
崇 協
热 匡
迹 卿
象 叫
冲 喬
突 境
终 峡
统 強
垃 彊
圾 怯
某 恐
域 恭
痛 挟
邪 教
恶 橋
轮 況
约 狂
壮 狭
决 矯
选 胸
或 脅
祝 興
达 蕎
抱 郷
歉 鏡
废 響
墟 饗
爸 驚
食 仰
平 凝
刚 尭
柯 暁
内 業
律 局
贵 曲
族 極
配 玉
风 桐
曲 粁
愚 僅
蠢 勤
系 均
白 巾
傻 錦
瓜 斤
俩 欣
途 欽
遇 琴
嘿 禁
需 禽
谢 筋
忙 緊
考 芹
虑 菌
使 衿
协 襟
莉 謹
丝 近
嗬 金
努 吟
另 銀
弃 九
您 倶
尝 句
表 区
功 狗
次 玖
访 矩
欠 苦
显 躯
邻 駆
鬼 駈
呸 駒
偷 具
仅 愚
魔 虞
速 喰
度 空
撑 偶
久 寓
克 遇
乱 隅
扔 串
巷 櫛
烈 釧
程 屑
题 屈
嘭 掘
呵 窟
瓦 沓
缝 靴
粉 轡
碎 窪
求 熊
修 隈
检 粂
查 栗
历 繰
史 桑
录 鍬
称 勲
获 君
诅 薫
咒 訓
首 群
桌 軍
钱 郡
买 卦
疗 袈
义 祁
务 係
哟 傾
摇 刑
晃 兄
排 啓
潜 圭
贼 珪
性 型
犯 契
罪 形
饰 径
品 恵
指 慶
魁 慧
祸 憩
气 掲
媲 携
冷 敬
水 景
洗 桂
雨 渓
欺 畦
骗 稽
隆 系
沮 経
丧 継
神 繋
圣 罫
谅 茎
＊ 荊
巴 蛍
富 計
房 詣
付 警
款 軽
况 頚
操 鶏
拥 芸
越 迎
蛋 鯨
冰 劇
块 戟
莫 撃
淘 激
汰 隙
引 桁
建 傑
购 欠
游 決
戏 潔
质 穴
总 結
龙 血
味 訣
年 月
奇 件
怪 倹
敌 倦
造 健
轻 兼
松 券
精 剣
彩 喧
便 圏
彼 堅
爱 嫌
妻 建
母 憲
甚 懸
至 拳
极 捲
端 検
遗 権
嘱 牽
噢 犬
驾 献
驶 研
飞 硯
懒 絹
惰 県
讲 肩
岸 見
宿 謙
连 賢
止 軒
念 遣
移 鍵
两 険
眼 顕
睛 験
众 鹸
善 元
良 原
踢 厳
涂 幻
糖 弦
习 減
惯 源
败 玄
坏 現
冒 絃
才 舷
曼 言
争 諺
休 限
妈 乎
疯 個
解 古
世 呼
界 固
字 姑
侧 孤
少 己
魅 庫
乌 弧
昆 戸
恩 故
伤 枯
尊 湖
政 狐
府 糊
讶 袴
形 股
状 胡
旗 菰
帜 虎
按 誇
划 跨
似 鈷
混 雇
跑 顧
扰 鼓
振 五
顺 互
沙 伍
片 午
“ 呉
” 吾
猜 娯
撒 後
卑 御
鄙 悟
资 梧
楼 檎
讨 瑚
厌 碁
站 語
毛 誤
骨 護
悚 醐
警 乞
惕 鯉
预 交
忽 佼
略 侯
憾 候
忠 倖
诚 光
礼 公
赫 功
摆 効
脱 勾
旧 厚
囤 口
积 向
图 后
干 喉
识 坑
破 垢
僵 好
局 孔
胸 孝
针 宏
周 工
纪 巧
存 巷
魂 幸
择 広
停 庚
店 康
般 弘
超 恒
标 慌
元 抗
素 拘
北 控
梯 攻
侵 昂
赶 晃
帖 更
观 杭
察 校
升 梗
级 構
今 江
思 洪
撤 浩
绪 港
响 溝
亮 甲
歧 皇
视 硬
； 稿
电 糠
鹅 紅
漠 紘
南 絞
立 綱
​ 耕
源 考
限 肯
拍 肱
麻 腔
烦 膏
登 航
陆 荒
霍 行
口 衡
返 講
婚 貢
幸 購
福 郊
蜜 酵
月 鉱
丈 砿
父 鋼
亲 閤
幕 降
闯 項
专 香
优 高
势 鴻
断 剛
效 劫
− 号
赢 合
恙 壕
留 拷
艰 濠
爬 豪
阳 轟
台 麹
趣 克
冠 刻
降 告
逃 国
漂 穀
错 酷
谨 鵠
短 黒
村 獄
营 漉
养 腰
丰 甑
卖 忽
产 惚
准 骨
备 狛
疏 込
散 此
摊 頃
值 今
躺 困
算 坤
库 墾
培 婚
消 恨
鲜 懇
炉 昏
予 昆
偏 根
辣 梱
售 混
庄 痕
掉 紺
饭 艮
胡 魂
增 些
额 佐
权 叉
销 唆
既 嵯
倒 左
喂 差
森 査
累 沙
施 瑳
床 砂
租 詐
劲 鎖
科 裟
洛 坐
攻 座
吓 挫
交 債
化 催
院 再
严 最
缘 哉
通 塞
户 妻
膝 宰
稍 彩
翻 才
临 採
洁 栽
林 歳
喝 済
铁 災
杆 采
集 犀
类 砕
兽 砦
径 祭
庭 斎
厨 細
乐 菜
秀 裁
师 載
印 際
碟 剤
巨 在
牛 材
炒 罪
熟 財
酱 冴
汁 坂
取 阪
料 堺
野 榊
猪 肴
肉 咲
兹 崎
山 埼
蔬 碕
控 鷺
够 作
研 削
究 咋
换 搾
呃 昨
烹 朔
饪 柵
截 窄
影 策
峰 索
穿 錯
屑 桜
草 鮭
稿 笹
创 匙
馅 冊
期 刷
步 察
目 拶
学 撮
验 擦
征 札
碗 殺
匹 薩
灿 雑
幽 皐
刮 鯖
鸦 捌
写 錆
封 鮫
陪 皿
抢 晒
劫 三
诫 傘
黑 参
亡 山
嗨 惨
妃 撒
巡 散
逻 桟
戒 燦
闪 珊
耀 産
代 算
宠 纂
贪 蚕
憎 讃
恨 賛
纵 酸
徒 餐
惭 斬
愧 暫
依 残
赖 仕
肮 仔
脏 伺
油 使
充 刺
灵 司
骑 史
奋 嗣
悲 四
址 士
鼠 始
咬 姉
锈 姿
斑 子
嘘 屍
呜 市
益 師
银 志
君 思
体 指
循 支
环 孜
蓝 斯
色 施
召 旨
腐 枝
压 止
坐 死
愤 氏
怒 獅
沉 祉
默 私
异 糸
投 紙
掷 紫
书 肢
插 脂
页 至
殴 視
笨 詞
课 詩
呼 試
吁 誌
属 諮
罢 資
苦 賜
司 雌
削 飼
弱 歯
煽 事
救 似
包 侍
订 児
红 字
刀 寺
燃 慈
烧 持
足 時
静 次
愉 滋
踪 治
貌 爾
康 璽
奈 痔
脑 磁
艾 示
奥 而
瑟 耳
哥 自
醉 蒔
吉 辞
归 汐
杯 鹿
伙 式
饮 識
职 鴫
堡 竺
趋 軸
础 宍
索 雫
底 七
净 叱
桶 執
笑 失
闻 嫉
车 室
潮 悉
汐 湿
懈 漆
怠 疾
震 質
团 実
船 蔀
皮 篠
段 偲
赋 柴
朴 芝
剪 屡
答 蕊
奖 縞
励 舎
挑 写
范 射
奎 捨
诲 赦
搞 斜
砸 煮
瑞 社
五 紗
线 者
谱 謝
艺 車
掌 遮
技 蛇
谓 邪
合 借
隐 勺
帕 尺
韦 杓
映 灼
青 爵
春 酌
瞒 釈
附 錫
细 若
搜 寂
困 弱
街 惹
婴 主
项 取
删 守
古 手
孔 朱
噪 殊
纸 狩
袋 珠
木 種
箱 腫
崩 趣
溃 酒
携 首
节 儒
编 受
距 呪
闭 寿
É 授
健 樹
宾 綬
适 需
渗 囚
及 収
互 周
率 宗
态 就
荡 州
澄 修
清 愁
病 拾
吸 洲
沛 秀
贝 秋
焦 終
耶 繍
演 習
旺 臭
醒 舟
章 蒐
弹 衆
咯 襲
阻 讐
挥 蹴
误 輯
佩 週
围 酋
宣 酬
泼 集
昨 醜
陷 什
海 住
镜 充
灰 十
尘 従
洞 戎
梦 柔
靴 汁
兄 渋
弟 獣
颜 縦
绿 重
触 銃
摸 叔
执 夙
余 宿
脆 淑
较 祝
幅 縮
砍 粛
石 塾
匠 熟
漆 出
贡 術
伊 述
挂 俊
刷 峻
退 春
呆 瞬
毕 竣
竟 舜
恒 駿
夸 准
甘 循
欧 旬
械 楯
菲 殉
歇 淳
晤 準
诡 潤
招 盾
舞 純
剧 巡
拯 遵
侠 醇
娘 順
恼 処
各 初
启 所
旦 暑
障 曙
趾 渚
火 庶
柴 緒
树 署
枝 書
搭 薯
帐 藷
篷 諸
粘 助
措 叙
戈 女
钉 序
戴 徐
链 恕
键 鋤
坟 除
墓 傷
尉 償
荣 勝
誉 匠
胃 升
⁇ 召
耗 哨
仪 商
娜 唱
透 嘗
辑 奨
倍 妾
埋 娼
伏 宵
垒 将
防 小
庆 少
砂 尚
盟 庄
铺 床
延 廠
空 彰
具 承
凡 抄
茴 招
香 掌
著 捷
顶 昇
幻 昌
裁 昭
彻 晶
威 松
胁 梢
驱 樟
盒 樵
豪 沼
层 消
审 渉
判 湘
悬 焼
崖 焦
差 照
弗 症
御 省
岗 硝
岩 礁
责 祥
喊 称
妇 章
催 笑
促 粧
硬 紹
伦 肖
宁 菖
社 蒋
汉 蕉
耐 衝
瞥 裳
— 訟
跳 証
碍 詔
钮 詳
屏 象
右 賞
角 醤
斜 鉦
裤 鍾
博 鐘
钢 障
笔 鞘
衡 上
尚 丈
授 丞
岁 乗
灭 冗
炸 剰
四 城
读 場
股 壌
票 嬢
氏 常
汇 情
咕 擾
句 条
材 杖
独 浄
烂 状
粗 畳
楚 穣
盲 蒸
跟 譲
凭 醸
厉 錠
揭 嘱
露 埴
穆 飾
组 拭
织 植
旋 殖
滚 燭
构 織
覆 職
盖 色
厅 触
温 食
晕 蝕
欲 辱
肴 尻
拖 伸
列 信
哭 侵
塑 唇
掠 娠
夺 寝
占 審
医 心
帅 慎
喻 振
扎 新
琴 晋
渴 森
涉 榛
肠 浸
炎 深
饿 申
顿 疹
微 真
恭 神
秒 秦
钟 紳
饼 臣
润 芯
十 薪
圈 親
减 診
惹 身
献 辛
慢 進
腿 針
Ⅰ 震
泣 人
舍 仁
筋 刃
泥 塵
替 壬
寄 尋
娅 甚
迫 尽
盯 腎
暂 訊
刺 迅
皈 陣
仆 靭
评 笥
策 諏
括 須
赛 酢
宜 図
蒸 厨
馏 逗
鉴 吹
暖 垂
纳 帥
释 推
根 水
籍 炊
挽 睡
咫 粋
尺 翠
舰 衰
屁 遂
捍 酔
频 錐
躲 錘
雷 随
勉 瑞
恋 髄
荒 崇
篱 嵩
拔 数
絮 枢
吵 趨
瞧 雛
英 据
星 杉
竞 椙
诗 菅
霸 頗
蜘 雀
蛛 裾
嘉 澄
丁 摺
邀 寸
懂 世
雇 瀬
佣 畝
虎 是
勇 凄
颗 制
据 勢
账 姓
谍 征
京 性
歌 成
梅 政
锦 整
芒 星
蹈 晴
辙 棲
募 栖
惠 正
啰 清
嗦 牲
豹 生
承 盛
联 精
阅 聖
巫 声
广 製
季 西
席 誠
瓶 誓
戳 請
革 逝
货 醒
涨 青
抓 静
睡 斉
惜 税
仿 脆
蜚 隻
崎 席
诶 惜
擦 戚
敏 斥
盔 昔
甲 析
概 石
监 積
劣 籍
阴 績
暗 脊
娱 責
柔 赤
寡 跡
悦 蹟
迟 碩
拳 切
辅 拙
罕 接
稀 摂
辈 折
扮 設
眩 窃
育 節
扫 説
鼻 雪
垄 絶
窃 舌
牌 蝉
诸 仙
坑 先
劳 千
恐 占
惧 宣
昂 専
镖 尖
蛮 川
仗 戦
酵 扇
碌 撰
肌 栓
半 栴
痴 泉
采 浅
滑 洗
酬 染
巧 潜
赔 煎
摧 煽
雄 旋
朗 穿
盈 箭
酋 線
荷 繊
借 羨
词 腺
囚 舛
禁 船
胞 薦
赴 詮
乡 賎
莱 践
牢 選
芯 遷
扬 銭
狱 銑
昵 閃
塌 鮮
芝 前
赎 善
衷 漸
雅 然
聚 全
臂 禅
尴 繕
尬 膳
奴 糎
隶 噌
童 塑
慰 岨
尾 措
肥 曾
胖 曽
桥 楚
憩 狙
焰 疏
傲 疎
讪 礎
癌 祖
症 租
患 粗
悔 素
诞 組
朝 蘇
莎 訴
赐 阻
锋 遡
妮 鼠
官 僧
割 創
班 双
华 叢
横 倉
溢 喪
泄 壮
洲 奏
棍 爽
企 宋
蔓 層
枕 匝
忧 惣
饱 想
葡 捜
萄 掃
档 挿
徘 掻
徊 操
谬 早
喷 曹
缺 巣
怜 槍
翁 槽
居 漕
闹 燥
沸 争
腾 痩
猛 相
灯 窓
暇 糟
屠 総
愈 綜
补 聡
呐 草
染 荘
姐 葬
喉 蒼
递 藻
殊 装
李 走
妥 送
堂 遭
秩 鎗
序 霜
沿 騒
疤 像
痕 増
ㄧ 憎
申 臓
晶 蔵
七 贈
滕 造
夏 促
彭 側
哒 則
坦 即
凛 息
佳 捉
植 束
符 測
拆 足
珠 速
煤 俗
炭 属
勒 賊
偶 族
私 続
澈 卒
啜 袖
药 其
咳 揃
婆 存
谦 孫
虚 尊
韩 損
蕾 村
骄 遜
云 他
射 多
舒 太
磨 汰
网 詑
毒 唾
哼 堕
委 妥
螃 惰
蟹 打
兢 柁
翼 舵
邦 楕
济 陀
贺 駄
圆 騨
碰 体
苏 堆
架 対
稳 耐
聘 岱
裔 帯
烊 待
境 怠
柜 態
绘 戴
贯 替
牺 泰
牲 滞
杰 胎
契 腿
傅 苔
冗 袋
河 貸
穴 退
旁 逮
骛 隊
枯 黛
芽 鯛
甜 代
柱 台
挖 大
摩 第
井 醍
骚 題
避 鷹
坡 滝
蒙 瀧
邋 卓
遢 啄
鲤 宅
鱼 托
添 択
唔 拓
墙 沢
壁 濯
掘 琢
柄 託
卷 鐸
凯 濁
逾 諾
孕 茸
莽 凧
辩 蛸
署 只
酝 叩
酿 但
叔 達
梵 辰
勃 奪
爷 脱
奶 巽
祖 竪
载 辿
灌 棚
丛 谷
咚 狸
沃 鱈
姑 樽
核 誰
详 丹
锁 単
痊 嘆
逼 坦
喘 担
凶 探
卓 旦
獠 歎
牙 淡
镯 湛
悉 炭
谐 短
钦 端
婪 箪
仁 綻
慈 耽
齐 胆
抽 蛋
咨 誕
询 鍛
纠 団
版 壇
尿 弾
遵 断
榆 暖
篇 檀
瞬 段
伸 男
瞎 談
卵 値
逗 知
绕 地
唤 弛
弄 恥
羁 智
宋 池
套 痴
叉 稚
戟 置
笼 致
恰 蜘
逢 遅
孤 馳
佛 築
糙 畜
芷 竹
渐 筑
辨 蓄
洪 逐
泛 秩
滥 窒
遭 茶
肋 嫡
伽 着
￥ 中
嗖 仲
陀 宙
州 忠
哑 抽
涵 昼
纲 柱
宇 注
宙 虫
百 衷
羞 註
届 酎
谊 鋳
池 駐
千 樗
伪 瀦
虐 猪
霁 苧
莲 著
弥 貯
烤 丁
贫 兆
瘠 凋
雪 喋
码 寵
谜 帖
蘑 帳
菇 庁
咽 弔
泡 張
钓 彫
港 徴
庙 懲
袭 挑
仓 暢
省 朝
贴 潮
爆 牒
镣 町
铐 眺
狂 聴
堕 脹
庞 腸
阱 蝶
撞 調
初 諜
签 超
跨 跳
估 銚
夜 長
锯 頂
茂 鳥
睁 勅
骤 捗
肩 直
膀 朕
舵 沈
援 珍
刃 賃
智 鎮
践 陳
八 津
卦 墜
侣 椎
俗 槌
繁 追
昌 鎚
盛 痛
卢 通
柳 塚
盼 栂
屈 掴
臣 槻
锻 佃
炼 漬
箭 柘
擅 辻
弓 蔦
遣 綴
跃 鍔
寿 椿
％ 潰
漫 坪
妖 壷
灾 嬬
苍 紬
校 爪
鼓 吊
鸢 釣
怨 鶴
侦 亭
骆 低
驼 停
披 偵
探 剃
批 貞
跛 呈
歼 堤
诱 定
饵 帝
咩 底
榨 庭
拟 廷
绩 弟
汗 悌
泪 抵
熊 挺
帽 提
轴 梯
含 汀
矛 碇
却 禎
惑 程
铝 締
钛 艇
芬 訂
诀 諦
窍 蹄
噜 逓
阶 邸
零 鄭
履 釘
译 鼎
裹 泥
欣 摘
屉 擢
钥 敵
匙 滴
肖 的
珍 笛
捉 適
财 鏑
摄 溺
齿 哲
波 徹
兆 撤
槛 轍
脾 迭
杠 鉄
抹 典
扭 填
鹰 天
党 展
呕 店
吐 添
搁 纏
佐 甜
疲 貼
倦 転
疼 顛
迁 点
辟 伝
纱 殿
兔 澱
拙 田
尸 電
妹 兎
栖 吐
抛 堵
堵 塗
栏 妬
阵 屠
蜡 徒
烛 斗
瘟 杜
疫 渡
陡 登
峭 菟
宽 賭
恕 途
姿 都
袍 鍍
梗 砥
誓 砺
艘 努
壳 度
遍 土
狼 奴
夕 怒
涌 倒
倡 党
浇 冬
污 凍
渍 刀
纯 唐
浸 塔
杂 塘
爪 套
副 宕
缩 島
脉 嶋
鸣 悼
挤 投
逞 搭
隧 東
胆 桃
坎 梼
扣 棟
窄 盗
肿 淘
跌 湯
讯 涛
耕 灯
摘 燈
匆 当
篡 痘
硕 祷
描 等
述 答
漏 筒
岔 糖
捷 統
吞 到
噬 董
衰 蕩
缓 藤
浅 討
拼 謄
黄 豆
喋 踏
睐 逃
臭 透
肢 鐙
枪 陶
挡 頭
粹 騰
勤 闘
喔 働
梁 動
啮 同
溜 堂
肆 導
牧 憧
淹 撞
曙 洞
颁 瞳
喵 童
泳 胴
葛 萄
庚 道
嘻 銅
债 峠
慷 鴇
慨 匿
赦 得
锐 徳
棱 涜
拘 特
燥 督
宴 禿
隔 篤
佑 毒
剂 独
辄 読
糊 栃
祭 橡
猫 凸
双 突
蚀 椴
轨 届
湮 鳶
辫 苫
丑 寅
藤 酉
苗 瀞
吨 噸
抚 屯
缠 惇
若 敦
崛 沌
挚 豚
髦 遁
砰 頓
搅 呑
廊 曇
堆 鈍
均 奈
腔 那
脂 内
丹 乍
坤 凪
眠 薙
仔 謎
烙 灘
寒 捺
栗 鍋
扇 楢
辜 馴
溉 縄
渠 畷
竖 南
贸 楠
筑 軟
辞 難
匀 汝
阁 二
渣 尼
烬 弐
郁 迩
拐 匂
坍 賑
宰 肉
框 虹
踏 廿
簧 日
督 乳
桃 入
陛 如
抨 尿
拌 韮
淆 任
肺 妊
烟 忍
熏 認
吻 濡
狡 禰
猾 祢
陈 寧
姓 葱
亏 猫
缚 熱
瑕 年
敲 念
胎 捻
拽 撚
浆 燃
啦 粘
肚 乃
脐 廼
盾 之
嘎 埜
殆 嚢
嘀 悩
凉 濃
冕 納
沟 能
悍 脳
绅 膿
淡 農
鲍 覗
龄 蚤
鸭 巴
蛇 把
瞄 播
猎 覇
佬 杷
咔 波
嘈 派
皿 琶
亩 破
迈 婆
耽 罵
虫 芭
窗 馬
帘 俳
悼 廃
傀 拝
儡 排
滋 敗
软 杯
黎 盃
嫁 牌
蔽 背
玫 肺
瑰 輩
桑 配
违 倍
绷 培
绑 媒
景 梅
纽 楳
铭 煤
肃 狽
杭 買
雕 売
浮 賠
讽 陪
厂 這
坩 蝿
埚 秤
嘶 矧
矣 萩
闷 伯
妙 剥
园 博
唱 拍
羊 柏
乘 泊
兮 白
铜 箔
丘 粕
辆 舶
拇 薄
抬 迫
涯 曝
堪 漠
赤 爆
裸 縛
沌 莫
拾 駁
茄 麦
剔 函
吖 箱
咙 硲
呱 箸
岌 肇
濒 筈
弯 櫨
酪 幡
缤 肌
纷 畑
姨 畠
垮 八
汪 鉢
扩 溌
宗 発
奉 醗
啪 髪
币 伐
午 罰
谋 抜
乏 筏
呈 閥
郑 鳩
扯 噺
霆 塙
耸 蛤
婶 隼
侍 伴
❤ 判
畜 半
挣 反
芜 叛
腹 帆
厚 搬
迄 斑
蹒 板
跚 氾
眉 汎
睫 版
咻 犯
逝 班
挠 畔
妞 繁
肝 般
＇ 藩
旨 販
剥 範
鞭 釆
焊 煩
苛 頒
镳 飯
茨 挽
茫 晩
凝 番
窒 盤
轰 磐
饲 蕃
炮 蛮
囧 匪
ㄎ 卑
玷 否
侮 妃
折 庇
悯 彼
哀 悲
泽 扉
储 批
叠 披
诽 斐
谤 比
苹 泌
勿 疲
歪 皮
奠 碑
皱 秘
纹 緋
倚 罷
肤 肥
秃 被
朽 誹
抑 費
末 避
噱 非
踝 飛
斤 樋
筹 簸
杜 備
鹃 尾
祀 微
冥 枇
玲 毘
汤 琵
脊 眉
椎 美
饶 鼻
疾 柊
饥 稗
觊 匹
觎 疋
蠕 髭
液 彦
裕 膝
滴 菱
挨 肘
涅 弼
墨 必
妓 畢
焉 筆
缔 逼
串 桧
航 姫
绚 媛
氛 紐
啾 百
蓬 謬
撇 俵
忏 彪
荏 標
苒 氷
骸 漂
湖 瓢
寓 票
孙 表
悟 評
雾 豹
趟 廟
阈 描
肇 病
贩 秒
霉 苗
胶 錨
抄 鋲
穗 蒜
挺 蛭
觑 鰭
麒 品
麟 彬
谭 斌
罩 浜
掩 瀕
葬 貧
焕 賓
棵 頻
蕴 敏
寸 瓶
坊 不
拦 付
啤 埠
盘 夫
巅 婦
厄 富
矮 冨
栈 布
羽 府
锤 怖
斩 扶
吹 敷
ō 斧
廷 普
渊 浮
鸟 父
诊 符
嗣 腐
孝 膚
晓 芙
庸 譜
丸 負
垂 賦
紫 赴
颈 阜
泉 附
続 侮
槌 撫
円 武
発 舞
対 葡
叩 蕪
缲 部
頼 封
噂 楓
贷 風
応 葺
戻 蕗
剣 伏
呪 副
狙 復
川 幅
渡 服
畑 福
陵 腹
寨 複
鉱 覆
谒 淵
戦 弗
冶 払
俺 沸
匂 仏
芸 物
帰 鮒
郷 分
寝 吻
遅 噴
寛 墳
辺 憤
労 扮
姊 焚
嫌 奮
揺 粉
駆 糞
妾 紛
覧 雰
仲 文
粋 聞
犬 丙
晒 併
阀 兵
経 塀
済 幣
绽 平
満 弊
暁 柄
姫 並
矢 蔽
薬 閉
沼 陛
鋭 米
験 頁
鉄 僻
叶 壁
縦 癖
増 碧
浴 別
図 瞥
茶 蔑
捜 箆
陥 偏
晩 変
怖 片
実 篇
铳 編
诘 辺
髪 返
慌 遍
仕 便
狭 勉
筒 娩
凄 弁
扉 鞭
険 保
恵 舗
黙 鋪
幼 圃
役 捕
拶 歩
络 甫
昏 補
沦 輔
畅 穂
［ 募
］ 墓
尖 慕
捡 戊
寂 暮
妨 母
桨 簿
溯 菩
焚 倣
窥 俸
晰 包
嘟 呆
毋 報
摔 奉
涟 宝
漪 峰
吊 峯
坠 崩
亨 庖
盏 抱
蛆 捧
桂 放
恳 方
猩 朋
乳 法
嘲 泡
蝙 烹
蝠 砲
遏 縫
惨 胞
杨 芳
刑 萌
膛 蓬
疚 蜂
颠 褒
熔 訪
铸 豊
敛 邦
鸿 鋒
壤 飽
垢 鳳
殖 鵬
潭 乏
殉 亡
